1000,Sequence Control
132119,Invalid basis CAN ID for cyclic data to the drive in CAN-CFG-Module
132120,Invalid basis CAN ID for cyclic data from the drive in CAN-CFG-Module
132121,The CAN ID for the SYNC telegram in the CAN-CFG-Module is invalid
132122,The CAN ID for the broadcast command in the CAN-CFG-Module is invalid
132123,Error defining Read COB for WR2 Request (external set position mode)
F50365,CAN-ID (in HB and MHB) and Status of CAN_defineCOB() (in MLB and LB)
132124,Error defining Read COB for WR2 Response (external set position mode)
F50366,CAN-ID (in HB and MHB) and Status of CAN_defineCOB() (in MLB and LB)
132125,Error defining Read COB for RD2 Request (external set position mode)
F50367,CAN-ID (in HB and MHB) and Status of CAN_defineCOB() (in MLB and LB)
132126,Error defining Read COB for RD2 Response (external set position mode)
F50368,CAN-ID (in HB and MHB) and Status of CAN_defineCOB() (in MLB and LB)
132127,Error deleting Write COB for Broadcast Command (external set position mode)
F50369,CAN-ID (in HB and MHB) and Status of CAN_deleteCOB() (in MLB and LB)
132128,Error defining Read COB for Broadcast Command (external set position mode)
F50370,CAN-ID (in HB and MHB) and Status of CAN_defineCOB() (in MLB and LB)
132129,Error defining Read COB for cyclic user data from drive (ext. set pos. mode)
F50371,CAN-ID (in HB and MHB) and Status of CAN_defineCOB() (in MLB and LB)
132130,This external set position mode is only allowed with one CAN interface
F50372,Count of used CAN interfaces
132131,The specified NC data module does not exist
132132,The specified module is not an NC data module
132133,The NC module type of the specified NC data module is invalid
F50373,Requested type (in HB) and type of NC data module (in LB)
132134,The NC module type of the specified NC data module cannot be read
F50374,Status of function MO_read()
132135,The data address of the specified NC data module cannot be read
F50375,Status of function MO_read()
132136,The data section of the specified NC data module is empty
F50376,Number of data section
132137,Data address of structure for a data block operation is zero
132138,Data address zero (data structure for data block operation)
132139,Data length zero (data structure for data block operation)
132140,Data block operation: Data module name or data address must be zero
132141,Invalid data format in a parameter sequence
132142,ID or type of a parameter invalid in parameter sequence with text format
F50377,Index of this parameter in the parameter sequence
132143,Data of a parameter in a parameter sequence longer than 6 bytes
F50378,Index of this parameter in the parameter sequence
132144,Error for an ACOPOS parameter table specified in the NC Mapping Table
F50379,Index of this ACOPOS parameter table (name in Logger)
132145,The ACOPOS parameter table does not exist
132146,The ACOPOS parameter table is not an NC data module
132147,The NC module type of the ACOPOS parameter table is invalid
132148,The NC module type of the ACOPOS parameter table cannot be read
132149,The data address in the ACOPOS parameter table cannot be read
132150,The data section of the ACOPOS parameter table is empty
132151,Error initializing memory buffer for XML parser
132152,No XML elements present in an ACOPOS parameter table
132153,The first XML element is invalid in the ACOPOS parameter table
132154,The ACOPOS parameter table does not contain any ACOPOS parameters
132155,Nesting depth for ACOPOS parameter groups exceeded
F50380,Maximum nesting depth
132156,ID or type of an ACOPOS parameter invalid for text conversion
F50381,Parameter ID
132157,Length of parameter data too large for ACOPOS parameter in XML data
F50382,Parameter ID
132158,ACOPOS parameter: An attribute is not defined (ID)
F50383,Number of this Parameter in the ACOPOS parameter table
132159,ACOPOS parameter: An attribute is not defined (Value)
F50384,Number of this Parameter in the ACOPOS parameter table
132161,"ncNC_SYS_RESTART,ncACKNOWLEDGE is not allowed (network.init=ncFALSE)"
132163,A system module download to all drives is not possible with SwNodeSelect
132164,The text defined with NetworkInit (global) is invalid
132165,A CAN node number is equal to NodeNr_SwNodeSelect
132166,Network initialization not allowed during active network initialization
132167,The text defined with NetworkInit is invalid
132168,NodeNr_SwNodeSelect is defined repeatedly with different values
132169,The node number defined with NodeNr_SwNodeSelect is invalid
F50385,Node number
132170,A data module name has to be entered for this data block operation
132171,Index zero is not allowed (data structure for data block operation)
132172,The specified data module name is not valid for a BR module
F50386,Status of conv_asc2brstr()
132173,Memory for data module creation cannot be allocated
F50387,Data module length
132174,Error with installation of data module into BR module table
F50388,Status of BrmFlushModuleMemory()
132175,Error with installation of data module into BR module table
F50389,Status of BR_install()
132176,Text for parameter data too large for parameter sequence with text format
F50390,Index of this parameter in the parameter sequence
132177,Text for parameter data too large for parameter list with text format
F50391,Index of this parameter in the parameter list
132178,This axis is not enabled for this ACOPOS (channel number too high)
F50392,Maximum channel number
132179,ID or type of a parameter invalid in parameter list with text format
F50393,Index of this parameter in the parameter list
132180,Data address of structure for a parameter list operation is zero
132181,Data address zero (data structure for parameter list operation)
132182,Data length zero (data structure for parameter list operation)
132183,Data length invalid (data structure for parameter list operation)
132184,Invalid data format in a parameter list
132185,Data of a parameter in a parameter list longer than 6 bytes
F50394,Index of this parameter in the parameter list
132186,NetBasisInitNr is defined repeatedly for ncMANAGER with different values
132187,Error for synchronization of network initialization (details in Logger)
132188,This NC object is defined in hardware configuration and NC Mapping Table
132189,Timeout for cyclic data from drive - Indications invalid (network error ?)
F50395,Timeout [usec]
132190,Error defining Write COB for selection of node number via software
F50396,CAN-ID (in HB and MHB) and Status of CAN_defineCOB() (in MLB and LB)
132191,This parameter ID is reserved for the PLCopen MC library
F50397,"Command ID (0: SERVICE, 1: PAR_LIST, 2: PAR_SEQU, 3: ACP_PAR)"
132192,The specified data module is not an INIT Parameter module
132193,For this NC object type no INIT parameter module is present
132194,This function is not implemented for this NC object type
132195,Error downloading BsLoader to ACOPOS
F50398,Node number of ACOPOS which caused the error (if not equal to zero)
132196,Error downloading operating system to ACOPOS
F50399,Node number of ACOPOS which caused the error (if not equal to zero)
132197,Error downloading BsLoader to ACOPOS (additional info in Logger)
132198,Error downloading operating system to ACOPOS (additional info in Logger)
132200,Error calling plAcycWrite() (read parameter)
F50400,Status of plAcycWrite()
132201,Error calling plAcycWrite() (write parameter)
F50401,Status of plAcycWrite()
132202,Error calling plAcycRead() (read parameter)
F50402,Status of plAcycRead()
132203,Error calling plAcycRead() (write parameter)
F50403,Status of plAcycRead()
132204,Timeout while reading par. via acyclic channel (is the drive in the network ?)
F50404,Timeout [usec]
132205,Timeout while writing par. via acyclic channel (is the drive in the network ?)
F50405,Timeout [usec]
132206,Cyclic channel: Read Request in spite of Wait for Response
132207,Cyclic channel: Write Request in spite of Wait for Response
132208,Error using plAction(DEVICE_TO_BUS_NR) (additional info in Logger)
F50406,Status of plAction()
132209,Error using plAction(GET_IDENT) (additional info in Logger)
F50407,Status of plAction()
132210,Wrong interface ident when calling plState() (additional info in Logger)
F50408,Interface ident
132211,Interface not available when calling plState() (additional info in Logger)
132212,Fatal interface error when calling plState() (additional info in Logger)
132213,Timeout for POWERLINK interface (additional info in Logger)
132214,Error calling plAcycOpen() (additional info in Logger)
F50409,Status of plAcycOpen()
132215,Error calling plCECreate() (additional info in Logger)
F50410,Status of plCECreate()
132216,Error using plAction(GET_IF_PAR) (additional info in Logger)
F50411,Status of plAction()
132217,Broadcast channel: Error calling plAcycWrite() (read parameter)
F50412,Status of plAcycWrite()
132218,Broadcast channel: Error calling plAcycWrite() (write parameter)
F50413,Status of plAcycWrite()
132219,Error using plAction(GET_IF_MUXPRESCALE) (additional info in Logger)
F50414,Status of plAction()
132220,Error using plAction(GET_IF_CYCLE_TIME) (additional info in Logger)
F50415,Status of plAction()
132221,Error using plAction(GET_IF_PRESCALE) (additional info in Logger)
F50416,Status of plAction()
132222,Error using plAction(GET_STATIONFLAG) (additional info in Logger)
F50417,Status of plAction()
132223,Error calling plGetNodeInfo() (additional info in Logger)
F50418,Status of plGetNodeInfo()
132224,Error calling plAction(GET_PROTOCOL_VERSION) (additional info in Logger)
F50419,Status of plAction()
132225,This ACOPOS POWERLINK node does not exist in the AR Configuration
132226,A SDC node number in module acp10cfg is invalid
132227,A SDC node number in module acp10cfg is used repeatedly
132228,There is no network interface (POWERLINK or SDC) contained in acp10cfg
132229,The SDC object needed for operation of SDC axes does not exist
132230,Error at initialization of SDC oder SIM object (see Logger)
132231,Error at SDC configuration (see Logger)
132232,The SIM object needed for ACOPOS Simulation does not exist
132233,NCBSL (name see logger) contains no NC system module with module type 0x4F
132234,NCSYS (name see logger) contains no NC system module with module type 0x4F
132235,Data address zero for parameter in parameter sequence
F50420,Index of this parameter in the parameter sequence
132236,Data address zero for parameter in parameter list
F50421,Index of this parameter in the parameter list
132237,Channel index for ACOPOS parameters in module acp10cfg is invalid
F50422,Interface index (in HB) and node number (in LB) of this drive
132238,This function is not implemented at this time
132239,Basic memory for INIT parameter modules could not be allocated
F50423,Status of SM_malloc()
132240,NC object data invalid (PV with INIT value in variable declaration ?)
132241,Data block operation: Data module name must be zero
132243,Error using plAction(GET_PDO_INFO) (additional info in Logger)
F50424,Status of plAction()
132244,No PDO defined in the cyclic frame for this channel: The channel is disabled
132245,The Memory for operating the broadcast channel cannot be allocated
132246,Direction' of the POWERLINK broadcast channel is not 'Output'
132247,Error using plAction(GET_TC_INFO) (additional info in Logger)
F50425,Status of plAction()
132248,Invalid ACOPOS parameter header in module acp10cfg (section exceeded)
F50426,Interface index (in HB) and node number (in LB) of this drive
132249,Invalid ACOPOS parameter descriptor in module acp10cfg (section exceeded)
132250,ACOPOS parameter in module acp10cfg: Length of parameter data too large
F50427,Maximum allowed length
132251,NcNetCyc: Response timeout
F50428,Timeout [usec]
132252,NcNetCyc: Unexpected Response (invalid counter value)
132253,The task class for POWERLINK output cycle trigger is invalid
F50429,Maximum task class number
132254,No PDO mapping defined (PDO mapping is required for this ACOPOS ID)
F50430,ACOPOS ID
132255,Trace start is not allowed while trace is active
132256,Trace trigger: Invalid Data
F50431,Index of trigger record
132257,Trace trigger: This channel is not enabled for this ACOPOS
F50432,Index of trigger record
132258,More than one trace trigger defined for a channel
F50433,Index of trigger record
132259,There are currently no trace data to be saved
132260,Trace: No valid test data point is defined
132261,Trace trigger: Invalid data
132262,Trace test data point: Invalid data
F50434,Index of test data point
132263,Trace trigger: This channel is not enabled for this ACOPOS
132264,Trace test data point: This channel is not enabled for this ACOPOS
F50435,Index of test data point
132265,Trace trigger: Trace for this NC object already active at trace start
132266,Trace test data point: Trace for this NC object already active at trace start
F50436,Index of test data point
132267,Trace trigger: The NC object is not enabled for trace commands
132268,Trace test data point: The NC object is not enabled for trace commands
F50437,Index of test data point
132269,Trace: Too many test data points defined for one trace channel
F50438,Max. number of test data points
132270,ACOPOS coupling: The channel number of the send data is invalid
F50439,Channel number of the send data
132271,ACOPOS coupling: The channel number of the receive data is invalid
F50440,Channel number of the receive data
132272,ACOPOS coupling: Send data with this channel number are not configured
F50441,Channel number of the send data (number of coupling object)
132273,ACOPOS coupling: The NC object of the send data is invalid
132274,Network coupling: The broadcast channel was not configured
132275,Network coupling: The broadcast channel was not successfully initialized
132276,"Network coupling: Cycle times not equal (POWERLINK, NC task class)"
132277,Network coupling: In the broadcast channel no more data record has place
132278,ACOPOS coupling: Zero as Parameter ID of the send data is not allowed
132279,Service interface: Data address zero
132280,Timeout for enable of acyclic network communication
F50442,Timeout [sec]
132281,Version of SafeMC lower than minimum version (see Logger)
132282,"Network coupling: Incompatible cycle times (POWERLINK, NC task class)"
132283,INIT broadcast data point: Call of action only allowed with NC task class
F50443,Number of NC task class
132284,Ext. coupling data: With this AR/NC version only for TC1 with synchr. output
F50444,Number of NC task class
132285,"INIT broadcast data point: Incompatible cycle times (POWERLINK, NC task class)"
F50445,Extended coupling data for ACP10_MC_BROADCAST (0/1: No/Yes)
132286,"Network coupling: Incompatible cycle times (network interfaces, NC task class)"
F50446,Extended coupling data for ACP10_MC_BROADCAST (0/1: No/Yes)
132287,Extended coupling data not possible (OutTime difference too large)
F50447,Difference between maxOutTime and minOutTime
132288,Extended coupling data not possible (task class tolerance is not zero)
F50448,Number of NC task class
132289,Network coupling: SDC/SIM master and slave in different task classes
132290,INIT broadcast data point: Call of NC action only allowed in SDC task class
F50449,Task class number of the corresponding SDC interface
132291,"INIT broadcast data point: dp_data_bits"" or ""dp_task_class"" is zero"""
132302,Start setup not possible: A setup operation is already active
132322,Data block upload/download: The data object name is zero
132323,Data block upload/download: The data block parameter ID is invalid
132324,Data block upload/download: The parameter ID of data block index 1 is invalid
132325,Data block upload/download: The parameter ID of data block index 2 is invalid
132326,Data block upload/download: Address of data buffer is zero
132327,Data block upload/download: Length of data buffer is zero
132328,Data block upload: Length of data buffer lower than length of data block
132329,Setup: Maximum number of initial ACOPOS parameters exceeded
F50450,Maximum number
132330,Setup: Data of an ACOPOS parameter longer than 6 bytes
F50451,Parameter ID
132331,Start setup not possible: The mode parameter is zero
132392,"Network coupling: Incompatible cycle times (POWERLINK, NC task class)"
132393,"Network coupling: Incompatible cycle times (POWERLINK, NC task class)"
132394,"INIT broadcast data point: Incompatible cycle times (POWERLINK, NC task class)"
132395,Ext. coupling data: Only possible with synchr. output for task class Cyclic #1
F50452,Number of NC task class
132396,Changing the cycle time is not allowed for this ACOPOS hardware type
132397,NCSYS version on the target system is not compatible with NC software version
132398,NCSYS does not contain an operating system for this ACOPOS hardware type
132399,Manual ACOPOS restart (POWER-OFF/-ON) after NCSYS download necessary
132400,Memory cannot be allocated
F50453,Memory size
132401,No data object name specified
132402,The specified file cannot be opened
132403,The specified file cannot be created
132404,Error at writing into a file
132405,Error at reading from a file
132406,The specified file cannot be created
F50454,Status of FileCreate()
132407,Error at writing into a file
F50455,Status of FileWrite()
132408,Error at closing a file
F50456,Status of FileClose()
132409,The specified file cannot be deleted
F50457,Status of FileDelete()
132410,The data object type is invalid
132411,The address of the data object structure is zero
132412,The name in the data object structure is zero
132413,The data address in the data object structure is zero
132414,The data length in the data object structure is zero
132415,No File Device specified
132416,The FileIO functions do not exist (is library FileIO existing ?)
132417,Error at writing into an NC data module
F50458,Status of ncda_wr()
132418,No XML elements present in MTC data
132419,MTC data: XML elements invalid or in wrong order
132420,The MTC data contain an invalid configuration
132421,The MTC data contain no configuration for Multi Axes Trace
132422,The MTC data contain more than one configuration for Multi Axes Trace
132423,MTC data: Trigger.NcObject is invalid
132424,MTC data: Trigger.Condition is invalid
132425,MTC data: Channel.NcObject is invalid
132426,Trace trigger: The event is invalid
132427,Trace trigger: Parameter ID zero not allowed if event unequal to OFF
132428,The data object format is invalid
132429,MTC data: Maximum number of test data points exceeded
F50459,Maximum number
132430,Data could not be read from NCBSL module (name see logger)
132431,Data could not be read from NCSYS module (name see logger)
132432,Trace not possible: The ACOPOS startup is not yet complete
132492,ACOPOS Simulation: TC for cyclic PLCopen data not equal to NC Manager TC
132494,AcoposSimulation=Off for one channel although activated for the other channel
F50460,Channel number with AcoposSimulation=Off
132495,AcoposSimulation: Different values defined for real and virtual axis
F50461,Channel number of NC objects
132496,Error creating cyclic task for PLCopen MC (details in Logger)
132497,Task class for handling of cyclic data with PLCopen in acp10cfg is invalid
F50462,Maximum task class number
132498,PLCopen_CyclicData_TaskClass is lower than zero or higher than maximum value
F50463,Maximum value
132499,PLCopen_CyclicData_TaskClass: Values for real and virtual axis are not equal
F50464,Channel number of NC objects
132500,The Message FIFO already exists
132501,Error creating Message FIFO
F50465,Status of RtkCreateFifo()
132502,The Critical Section for Command Semaphore already exists
132503,Error creating Critical Section for Command Semaphore
F50466,Status of RtkCreateCriticalSection()
132504,The NC Idle Task already exists
132505,Error creating NC Idle Task
F50467,Status of RtkCreateTask()
132506,Error reading Taskclass Cycle Time
F50468,Status of GetTaskclassCycleTime()
132507,Error reading Taskclass Tolerance
F50469,Status of GetTaskclassMaxCycleTime()
132508,Error sending an idle time command to the NC Idle Task
F50470,Status of RtkWriteFifo()
132509,The Critical Section for Network Command Trace already exists
132510,Error creating Critical Section for Network Command Trace
F50471,Status of RtkCreateCriticalSection()
132511,The Critical Section for messages with high priority already exists
132512,Error creating Critical Section for messages with high priority
F50472,Status of RtkCreateCriticalSection()
132513,The Critical Section for global variables already exists
132514,Error creating Critical Section for global variables
F50473,Status of RtkCreateCriticalSection()
132515,The Critical Section for network coupling already exists
132516,Error creating Critical Section for network coupling
F50474,Status of RtkCreateCriticalSection()
132738,Error writing into SDM Motion FIFO
132739,Error creating SDM Motion FIFO (see Logger)
132740,Error deleting SDM Motion FIFO (see Logger)
132741,Error creating SDM Motion task (see Logger)
132742,Error deleting SDM Motion task (see Logger)
132743,SDM_Motion_Action: ncaction() did not return with ncOK
132744,SDM_Motion_Action not allowed (still no Trace configuration loaded)
132745,SDM_Motion_Action not allowed (Motion Trace already started by application)
132746,SDM_Motion_Action not allowed (Motion Trace already started by SDM)
132747,SDM_Motion_Action: DataAddress is zero or defined
132748,SDM_Motion_Action: DataLen is zero or defined
132749,SDM_Motion_Action: BrModName is too long
132750,SDM_Motion_Action: BrModName is not defined
132751,SDM_Motion_Action: FileName is not defined
132752,SDM_Motion Action not possible: AR function does not exist (see Logger)
132753,SDM_Motion_Action: CREATE_NCOBJ_LIST must be called before this action
132754,SDM_Motion_Action: The NC object type is invalid for this action
132755,SDM_Motion_Action: Memory free error
132756,SDM_Motion_Action: Memory alloc error
132757,SDM_Motion_Action: This action is not yet implemented
132758,SDM_Motion_Action: The NC object ident is invalid for this action
132759,SDM_Motion_Action: The NC object ident must be zero for this action
132760,SDM_Motion_Action: Pointer of exit function arguments is zero or not defined
132761,SDM_Motion_Action: Pointer of exit function is zero or not defined
132762,SDM_Motion_Action: The first XML element in input data is invalid
132763,SDM_Motion_Action: No XML element in input data
132764,SDM_Motion_Action: Error initializing memory buffer for XML parser
132765,SDM_Motion_Action: Length of XML input data is zero
132766,SDM_Motion_Action: Pointer of XML input data is zero
132767,SDM_Motion_Action: Invalid actionID
133002,Floating-Point exception
F50475,EPC
133003,Address error exception
F50476,EPC
133004,Bus error exception
F50477,EPC
133005,Exception
F50478,EPC
133006,Access violation Exception
F50479,EPC
133007,Violation address
F50480,ADDR
135000,"SMC FS: Internal error, Program flow"
F50481,Switch ID
135001,"SMC FS: Internal error, NULL pointer access"
F50482,Pointer ID
135002,"SMC FS: Internal error, SPI transfer"
F50483,Additional info
135003,"SMC FS: Internal error, MFW NVM data memory"
135004,"SMC FS: Internal error, Communication EnDat Master"
F50484,Additional info
135005,"SMC FS: Internal error, Communication ACOPOS"
F50485,Additional info
135006,"SMC FS: Internal error, Communication Encoder"
F50486,Additional info
135007,SMC FS: Module/compensation data is incompatible!
F50487,Additional info
135008,SMC FS: CRC of the module/compensation data is not correct!
F50488,Additional info
135009,SMC FS: SOS and STO not connected but needed for RSP
135010,"SMC FS: Internal error, Axis index out of range"
F50489,Pointer ID
135011,"SMC FS: Internal error, Function parameter out of range"
F50490,Program counter (PC)
135012,SMC FS: Unsafe encoder connected
135013,SMC FS: ACP10 version does not support the enabled safety function
F50491,ACPCom Version
135014,SMC FS: Function is not supported by hardware.
F50492,Additional info
135015,"SMC FS: Internal error, Cross communication cycle f5"
F50493,Byte Offset
135016,"SMC FS: Internal error, Cross communication of checkpoints"
F50494,Checkpoint ID
135017,"SMC FS: Internal error, Cross communication of status word"
F50495,Statusword
135018,"SMC FS: Internal error, Cross communication of output state"
F50496,Output state
135019,"SMC FS: Internal error, Cross communication of EnDat position"
F50497,EnDat position
135020,"SMC FS: Internal error, Cross communication of EnDat error register"
F50498,EnDat error register
135021,"SMC FS: Internal error, Cross communication of Encoder state machine"
F50499,EnDat state machine
135022,"SMC FS: Internal error, Cross communication of EnDat state machine"
F50500,EnDat state machine
135023,"SMC FS: Internal error, Cross communication of EnDat state machine"
F50501,EnDat state machine
135024,"SMC FS: EUS - Units per count of physical reference system"" invalid"""
135025,"SMC FS: EUS - Maximum speed to normalize speed range"" invalid"""
135026,SMC FS: EUS - Encoder resolution too low
135027,SMC FS: EUS - Encoder resolution too high
135028,SMC FS: EUS - Units resolution too high
135029,SMC FS: EUS - One unit is shorter than one nm
135030,SMC FS: Encoder mismatch - Configuration data changed several times
135031,SMC FS: Encoder mismatch - Configuration data changed
135032,SMC FS: Wrong parameterization
F50502,Additional info
135033,SMC FS: Module cycle time is not valid
135034,SMC FS: Parameterization - Deceleration ramp is too steep
135035,SMC FS: Internal state machine is in Fail Safe State
135036,SMC FS: Deactivated safety function was requested
135037,SMC FS: SMS - Speed limit is out of range
135038,SMC FS: SLS1 - Speed limit is out of range
135039,SMC FS: SLS2 - Speed limit is out of range
135040,SMC FS: SLS3 - Speed limit is out of range
135041,SMC FS: SLS4 - Speed limit is out of range
135042,SMC FS: Standstill speed limit is out of range
135043,SMC FS: SLS1 - Speed limit violates the configuration instruction
135044,SMC FS: SLS2 - Speed limit violates the configuration instruction
135045,SMC FS: SLS3 - Speed limit violates the configuration instruction
135046,SMC FS: SLS4 - Speed limit violates the configuration instruction
135047,SMC FS: Standstill Speed limit violates the configuration instruction
135048,SMC FS: Violation of parameter limits
F50503,Additional info
135049,SMC FS: SMP is used but Homing was not configured
135050,SMC FS: SMP - Lower position limit is greater or equal than upper limit
135051,SMC FS: SLP is used but Homing was not configured
135052,SMC FS: SLP - Lower position limit is greater or equal than upper limit
135053,SMC FS: SLP - Position window outside SMP position window
135054,SMC FS: SMP - Tolerance is greater than SMP position window
135055,SMC FS: SLP - Tolerance is greater than SLP position window
135056,SMC FS: Value of Deceleration ramp is out of range
135057,SMC FS: SLT Parameterization - Torque limit too high
F50504,Additional info
135058,SMC FS: Motor Parameterization - Torque characteristic invalid
F50505,Additional info
135059,SMC FS: BM Parameterization - Configured SF invalid
F50506,Additional info
135060,SMC FS: SSO tolerance violates the configuration instruction
135061,SMC FS: SMS - Speed limit violates the configuration instruction
135062,SMC FS: SMS - Speed lag error monitoring not activated
135063,SMC FS: SMS - Position lag error monitoring activated
135064,SMC FS: SMS - Homing activated
135065,SMC FS: SMS - A not allowed safety function is activated
135066,SMC FS: SMS - Access SwitchHomingMode activated
135067,"SMC FS: Internal error, Cross communication cycle f2"
F50507,Byte Offset
135068,"SMC FS: Homing - Maximum trigger speed"" is out of range """
135069,SMC FS: Homing - Ref Switch: No reference switch connected
135070,SMC FS: Homing - Home Offset: No absolute encoder connected
135071,SMC FS: Homing - Home Offset with Correction: SMP not configured
135072,SMC FS: Homing - SMP window is greater than safe absolute encoder range
135073,SMC FS: Homing - SLP window is greater than safe absolute encoder range
135074,SMC FS: Homing - Encoder doesn't support a safe reference pulse
135075,SMC FS: Homing - Speed tolerance is out of range
135076,SMC FS: Homing - reference pulse : Max. trigger speed is too big
135077,SMC FS: Homing - Function is requested but not configured
135078,SMC FS: Homing - RefSwitch bit is set but not configured
135079,SMC FS: Homing - Position is out of SMP window
135080,SMC FS: Homing - Direct with reference pulse: Not supported
135081,"SMC FS: Internal error, Cross communication of output signals"
F50508,Output signals
135082,"SMC FS: Internal error, Cross communication of output state machine"
F50509,Output state machine
135083,"SMC FS: Internal error, Cross communication preop f2"
F50510,Byte Offset
135084,SMC FS: Program error in PreOperational state
F50511,Checkpoint
135085,SMC FS: Safe output - Stuck at high detected
F50512,Output signal
135086,SMC FS: Safe output - Test state has changed
F50513,Output state
135087,SMC FS: Encoder - Speed limit exceeded
F50514,Actual speed [inc/cycle]
135088,SMC FS: Encoder - Acceleration limit exceeded
F50515,Actual acceleration [inc/cycle^2]
135091,SMC FS: Encoder mismatch detected
F50516,Additional info
135092,"SMC FS: Internal error, Lockbit set"
F50517,Lockbits
135093,SMC FS: Velocity error tolerance too large
135094,SMC FS: Lag error tolerance too large
135095,SMC FS: Encoder - Configuration error
F50518,Additional info
135096,SMC FS: Homing - Configuration error
F50519,Additional info
135097,"SMC FS: Internal error, Invalid current sensor resolution"
F50520,Additional info
135098,"SMC FS: Internal error, Invalid current sensor measurement range"
135099,"SMC FS: Internal error, Current values sum not plausible"
135100,"SMC FS: Internal error, Cross communication of stator current vector"
F50521,Additional info
135101,"SMC FS: Internal error, Cross communication of current vector angle"
F50522,Additional info
135102,"SMC FS: Internal error, Cross communication of the status register IPWM"
F50523,Additional info
135103,"SMC FS: Internal error, Cross communication FPGACom state machine"
F50524,Additional info
135104,"SMC FS: Internal error, FPGA communication"
F50525,Additional info
135105,"SMC FS: Internal error, FPGA SinCos - Reference voltage Channel A"
F50526,Additional info
135106,"SMC FS: Internal error, FPGA SinCos - Reference voltage Channel B"
F50527,Additional info
135107,"SMC FS: Internal error, FPGA SinCos - Configuration"
F50528,Additional info
135108,"SMC FS: Internal error, Hardware tests - Voltage monitoring"
F50529,Additional info
135109,"SMC FS: Internal error, ADC compensation data - Flash validation"
F50530,Additional info
135110,"SMC FS: Internal error, FPGA current measurement - ADC processing"
F50531,Additional info
135111,"SMC FS: Internal error, FPGA current measurement - Reference monitoring"
F50532,Additional info
135112,"SMC FS: Internal error, FPGA current measurement - Efficiency test"
F50533,Additional info
135113,"SMC FS: Internal error, FPGA current measurement - Configuration"
F50534,Additional info
135114,"SMC FS: Internal error, FPGA SinCos - Efficiency test"
F50535,Additional info
135115,SMC FS: SBT Parameterization - Current threshold too high
F50536,Additional info
135116,SMC FS: SBT Parameterization - External load greater than threshold
135117,SMC FS: SBT Parameterization - External load too small
F50537,Additional info
135118,"SMC FS: Internal error, extended flashdata is wrong"
F50538,Additional info
135119,SMC FS: SBT Parameterization - External load too high
F50539,Additional info
135120,SMC FS: Homing - S_SwitchHomingMode is set but not connected
135121,SMC FS: Homing - S_SwitchHomingMode is connected but ReqHoming not
135122,SMC FS: Homing - S_SwitchHomingMode connection and configuration not conform
135123,"SMC FS: Internal error, Cross communication of RSP receive data frame"
F50540,Additional info
135124,"SMC FS: Internal error, Cross communication of RSP send data frame"
F50541,Additional info
135125,SMC FS: RSP - Save operation failed
F50542,Additional info
135126,"SMC FS: RSP - Homing, SOS position tolerance too big"
135127,"SMC FS: Internal error, Invalid current sensor measurement offset"
135128,"SMC FS: Internal error, Sigma delta conversion is not plausible"
135129,"SMC FS: Internal error, gain and offset corrected current out of range"
135130,"SMC FS: Internal error, testcase"
135131,SMC FS: Internal error
135132,SMC FS: BM - Delay time to FFS is larger 0.8 * Node Guarding Timeout
135133,SMC FS: SMS - Safe maximum speed (SMS) in combination with SSO not allowed
135134,SMC FS: SMS - Safe stop 1 (SS1) with ramp monitoring not allowed
135135,SMC FS: SMS - Safe stop 1 (SS1) with early limit monitoring not allowed
135136,SMC FS: Safe Encoder mounting error
135150,SMC FS: Additional safety parameters: Disbld. function enable bit is set
F50543,Additional info
135151,SMC FS: Additional safety parameters: Placeholder enable bit is set
F50544,Additional info
135152,SMC FS: Additional safety parameters: Invalid payload size
F50545,Additional info
135153,"SMC: Interner error, CUnit test"
135154,SMC FS: Additional safety parameters: Invalid structure size
F50546,Additional info
135155,SMC FS: Received data for additional safety parameters too big
F50547,Additional info
135156,SMC FS: CRC chekc of the additional safety parameters failed
F50548,Additional info
135161,SMC FS: Incompatible parameter structure
F50549,Additional info
135162,SMC FS: Incompatible axis type
F50550,Additional info
135163,SMC FS: Error in PreOperational function
F50551,Additional info
135164,SMC FS: Cross communication SinCos status during FPGA boot phase
F50552,Additional info
135165,SMC FS: Encoder not configured but needed for safety functions
135166,SMC FS: Squared vector length too large
135167,SMC FS: Cross communication vector control trigger counter
F50553,Additional info
135170,SMC FS: SBT Current threshold too small
F50554,Additional info
135171,SMC FS: Internal error while processing the additional paramters
F50555,Additional info
135172,SMC FS: Homing - RefSwitch is connected but ReqHoming not
135173,SMC FS: Additional safety parameters: Invalid axis type ID
F50556,Additional info
135174,SMC FS: Additional safety parameters: Invalid structure version
135175,SMC: Safely Limited Acceleration - Violation of the acceleration monitoring
F50557,Acceleration at the violation
135176,SMC: Safe Brake Test - SBT: Timeout
135177,SMC: Safe Brake Test - SBT: SBC is active
135178,SMC: Safe Brake Test - Illegal sector change
F50558,Additional info
135179,SMC: additional parameters - Error during download
F50559,Additional info
135180,"SMC FFS: RSP - Homing, stored position invalid"
F50560,Additional info
135181,SMC: Safe Brake Test - Rho has left the actual sector too early
135182,SMC: Safe Brake Test - Measured and parametrized external load differ
F50561,Square of the actual stator current vector
135183,SMC: Safe Brake Test - Current fell below parametrized test current threshold
F50562,Square of the actual stator current vector
135184,SMC FFS: Drift of raw positions between uP1 and uP2 to big
